Produto,Categoria do Produto,PreÃ§o,Frete,Data da Compra,Vendedor,Local da compra,AvaliaÃ§Ã£o da compra,Tipo de pagamento,Quantidade de parcelas,lat,lon
Lava louÃ§as,eletrodomesticos,1446.46,74.60408253,11/11/2022,Rafael Costa,SP,4,cartao_credito,3,-22.19,-48.79
Cama box,moveis,631.7,33.9192505,03/01/2020,Thiago Silva,GO,5,cartao_credito,2,-15.98,-49.86
Bola de basquete,esporte e lazer,31.54,0,25/12/2022,Larissa Alves,MG,5,boleto,1,-18.1,-44.38
Modelagem preditiva,livros,76.93,1.68073013,23/11/2021,Lucas Oliveira,MG,3,boleto,1,-18.1,-44.38
Fone de ouvido,eletronicos,185.14,7.442587091,25/04/2022,Bianca Santos,SP,4,cartao_credito,7,-22.19,-48.79
Geladeira,eletrodomesticos,2122.48,110.6001138,30/05/2020,Beatriz Moraes,DF,1,cartao_credito,10,-15.83,-47.86
Guitarra,instrumentos musicais,834.88,50.69678373,11/07/2021,Thiago Silva,RJ,5,cartao_credito,1,-22.25,-42.66
Headset,eletronicos,125.96,15.80137743,19/02/2022,Isabella Pereira,RJ,4,cartao_credito,2,-22.25,-42.66
Celular Plus X42,eletronicos,3118.72,163.6468967,15/10/2022,Camila Ribeiro,SP,5,cartao_credito,3,-22.19,-48.79
CÃ´moda,moveis,364.39,29.25996439,18/11/2022,Rafael Costa,SP,1,cartao_credito,3,-22.19,-48.79
Bola de basquete,esporte e lazer,90.72,7.9943834,03/03/2022,Felipe Santos,AL,4,boleto,1,-9.62,-36.82
Boneca bebÃª,brinquedos,63.3,0,16/09/2020,Pedro Gomes,SP,5,cartao_credito,2,-22.19,-48.79
Dashboards com Power BI,livros,47.99,13.06142561,21/11/2020,Bianca Santos,SP,5,cartao_credito,3,-22.19,-48.79
Cadeira de escritÃ³rio,moveis,510.59,27.71848596,23/01/2023,Bianca Santos,SP,5,cupom,1,-22.19,-48.79
Kit banquetas,moveis,361.49,16.83269406,27/02/2023,Beatriz Moraes,SP,1,cartao_credito,6,-22.19,-48.79
Kit banquetas,moveis,320.37,17.34186461,31/12/2021,JoÃ£o Souza,MT,5,boleto,1,-12.64,-55.42
Impressora,eletronicos,317.77,14.50473559,14/05/2020,Lucas Oliveira,PE,5,cartao_credito,4,-8.38,-37.86
Jogo de copos,utilidades domesticas,31.44,1.957211325,29/12/2020,Mariana Ferreira,PR,1,cartao_credito,1,-24.89,-51.55
Mesa de jantar,moveis,425.83,22.95729234,21/07/2021,Juliana Costa,MS,5,boleto,1,-20.51,-54.54
Carrinho controle remoto,brinquedos,99.45,6.183828489,11/03/2020,Beatriz Moraes,DF,5,cartao_credito,4,-15.83,-47.86
Corda de pular,esporte e lazer,34.05,0,27/05/2021,JoÃ£o Souza,SP,5,boleto,1,-22.19,-48.79
