Produto,Categoria do Produto,PreÃ§o,Frete,Data da Compra,Vendedor,Local da compra,AvaliaÃ§Ã£o da compra,Tipo de pagamento,Quantidade de parcelas,lat,lon
Secadora de roupas,eletrodomesticos,1713.5,88.82315917,17/12/2021,Camila Ribeiro,CE,4,cartao_credito,4,-5.2,-39.53
CÃ´moda,moveis,386.81,18.18090789,10/02/2021,Larissa Alves,RS,3,cartao_credito,1,-30.17,-53.5
ViolÃ£o,instrumentos musicais,404.62,23.19759209,22/01/2023,Lucas Oliveira,SP,5,cartao_credito,3,-22.19,-48.79
Bola de vÃ´lei,esporte e lazer,78.4,4.463340953,22/03/2022,Pedro Gomes,BA,4,cartao_credito,6,-13.29,-41.71
Guarda roupas,moveis,694.76,34.57831895,12/01/2022,Bianca Santos,SP,1,cartao_credito,1,-22.19,-48.79
Impressora,eletronicos,307.64,13.96534356,20/11/2022,Mariana Ferreira,MG,5,cartao_credito,5,-18.1,-44.38
Carrinho controle remoto,brinquedos,74.26,4.237247505,07/07/2020,Bruno Rodrigues,SP,2,boleto,1,-22.19,-48.79
Cadeira de escritÃ³rio,moveis,619.44,33.514421,01/05/2022,Isabella Pereira,SP,5,boleto,1,-22.19,-48.79
Pandeiro,instrumentos musicais,58.01,3.619962508,27/10/2021,Larissa Alves,MG,5,cartao_credito,3,-18.1,-44.38
Faqueiro,utilidades domesticas,44.73,0,03/05/2022,Felipe Santos,RJ,5,boleto,1,-22.25,-42.66
Boneca bebÃª,brinquedos,60.64,0,16/08/2021,Beatriz Moraes,PI,5,boleto,1,-6.6,-42.28
Cadeira de escritÃ³rio,moveis,580.24,28.48047347,25/09/2022,Felipe Santos,GO,2,cartao_credito,1,-15.98,-49.86
Impressora,eletronicos,310.02,18.16042669,16/01/2023,Lucas Oliveira,MG,5,cartao_credito,2,-18.1,-44.38
Fone de ouvido,eletronicos,91.63,6.531816192,31/01/2022,JoÃ£o Souza,RS,4,cartao_credito,1,-30.17,-53.5
Jogo de copos,utilidades domesticas,52.13,3.306870197,08/11/2021,JoÃ£o Souza,CE,5,boleto,1,-5.2,-39.53
TV Led UHD 4K,eletronicos,2053.75,106.9404481,04/02/2021,Rafael Costa,SP,5,cartao_credito,1,-22.19,-48.79
Panela de pressÃ£o,utilidades domesticas,111.28,3.509764291,17/02/2022,JoÃ£o Souza,SP,5,boleto,1,-22.19,-48.79
Panela de pressÃ£o,utilidades domesticas,92.34,5.443092194,17/08/2022,Bruno Rodrigues,SP,4,cartao_credito,1,-22.19,-48.79
Boneca bebÃª,brinquedos,51.2,3.257350495,01/04/2021,Rafael Costa,SP,5,cartao_credito,1,-22.19,-48.79
CÃ´moda,moveis,335.28,15.43709041,01/10/2022,Beatriz Moraes,PE,4,cartao_credito,3,-8.38,-37.86
Lavadora de roupas,eletrodomesticos,2003.23,107.5543862,19/09/2022,Felipe Santos,DF,1,cartao_credito,8,-15.83,-47.86
Jogo de panelas,utilidades domesticas,170.82,9.378777013,29/08/2022,Thiago Silva,ES,5,cartao_credito,4,-19.19,-40.34
Dinossauro Rex,brinquedos,22.22,0,21/01/2020,Juliana Costa,RJ,4,cartao_credito,1,-22.25,-42.66
Modelagem preditiva,livros,102.08,6.323868077,24/06/2022,Beatriz Moraes,SP,5,cartao_credito,1,-22.19,-48.79
Panela de pressÃ£o,utilidades domesticas,87.53,4.949485987,21/08/2020,Thiago Silva,RJ,1,cartao_credito,1,-22.25,-42.66
Mesa de jantar,moveis,396.14,24.25707957,05/11/2021,Lucas Oliveira,PA,5,cartao_credito,3,-3.79,-52.48
Dashboards com Power BI,livros,45.14,2.934673726,19/05/2021,Pedro Gomes,BA,5,cartao_credito,1,-13.29,-41.71
Kit banquetas,moveis,447.99,21.43855883,22/02/2023,Lucas Oliveira,DF,4,cartao_credito,1,-15.83,-47.86
Corda de pular,esporte e lazer,22.75,1.494494968,21/08/2020,Beatriz Moraes,SP,4,cartao_credito,10,-22.19,-48.79
Iniciando em programaÃ§Ã£o,livros,86.73,5.149216106,26/08/2022,Camila Ribeiro,SP,1,cartao_credito,5,-22.19,-48.79
Jogo de panelas,utilidades domesticas,157.74,8.925445444,10/04/2021,Rafael Costa,SP,5,cartao_credito,3,-22.19,-48.79
Bola de basquete,esporte e lazer,81.79,4.886175968,24/11/2020,Felipe Santos,MG,5,boleto,1,-18.1,-44.38
FogÃ£o,eletrodomesticos,695.63,34.62464383,07/09/2022,JoÃ£o Souza,MG,5,cartao_credito,2,-18.1,-44.38
Carrinho controle remoto,brinquedos,89.83,5.31428178,30/08/2022,JoÃ£o Souza,SP,5,cartao_credito,1,-22.19,-48.79
Carrinho controle remoto,brinquedos,107.76,7.137011161,27/08/2022,Mariana Ferreira,ES,5,cartao_credito,2,-19.19,-40.34
FogÃ£o,eletrodomesticos,598.85,32.41806544,19/11/2022,Pedro Gomes,SP,4,cartao_credito,1,-22.19,-48.79
Bicicleta,esporte e lazer,422.58,20.08555278,25/11/2021,Felipe Santos,SP,5,cartao_credito,2,-22.19,-48.79
Jogo de copos,utilidades domesticas,48.66,0,28/11/2022,Bianca Santos,SP,5,cartao_credito,1,-22.19,-48.79
Panela de pressÃ£o,utilidades domesticas,111.95,3.545439776,15/01/2021,Pedro Gomes,SP,5,cupom,1,-22.19,-48.79
Fone de ouvido,eletronicos,174.17,15.51596391,06/02/2021,JoÃ£o Souza,RJ,3,cartao_credito,3,-22.25,-42.66
Iniciando em programaÃ§Ã£o,livros,81.58,1.928328641,20/03/2022,Mariana Ferreira,SP,4,cartao_credito,1,-22.19,-48.79
Lava louÃ§as,eletrodomesticos,1773.64,92.02543324,02/04/2022,Bruno Rodrigues,SP,4,cartao_credito,1,-22.19,-48.79
Smart TV,eletronicos,2067.76,110.3851253,29/04/2022,Felipe Santos,GO,5,cartao_credito,2,-15.98,-49.86
Pandeiro,instrumentos musicais,87.29,2.232368963,20/01/2020,Rafael Costa,SP,5,cartao_credito,5,-22.19,-48.79
Mochila,esporte e lazer,147.96,8.409529402,24/12/2022,Thiago Silva,SP,3,cartao_credito,5,-22.19,-48.79
